WahlbezirksNr	WahlbezirksName	WahlraumZeile1	WahlraumZeile2	WahlraumZeile3	Wahlraum barrierefrei	WahlbehˆrdeName	WahlbehˆrdeZeile1	WahlbehˆrdeZeile2	WahlbehˆrdeZeile3	Ortschaftsname	Wahleinteilung
1703	Golm - Grasm¸ckenring/An der Bahn	9048	Briefwahlbezirk 2301,2302	Universit‰t Potsdam Komplex Golm Haus 14			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
8604	Groﬂ Glienicke - An der Kirche			Grundschule Hanna von Pestalozza (6)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
8603	Groﬂ Glienicke - Bergstr./Seepromenade			Grundschule Hanna von Pestalozza (6)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
8602	Groﬂ Glienicke - Bullenwinkel/Braumannw.			Grundschule Hanna von Pestalozza (6)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
8601	Groﬂ Glienicke - Glienicker Dorfstr.			Groﬂ Glienicker Begegnungshaus			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
1601	Grube	9048	Briefwahlbezirk 2301,2302	BAUERei in Grube		nicht barrierefrei	nicht barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
4106	Innenstadt - Alter Markt/Wall am Kiez			Grundschule Max Dortu (8)		nicht barrierefrei	nicht barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
4109	Innenstadt - Bassinplatz			Schule des Zweiten Bildungsweges		Friedrich-Ebert-Str. 17,	barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
4108	Innenstadt - Brandenburger Str. Nord	9042	Briefwahlbezirk 4107,4108	Schule des Zweiten Bildungsweges		Friedrich-Ebert-Str. 17,	barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
4107	Innenstadt - Burgstr.	9042	Briefwahlbezirk 4107,4108	Rosa-Luxemburg-Schule (19)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
4103	Innenstadt - Hans-Thoma-Str./T¸rckstr.			Hermann-von-Helmholtz-Gymnasium (4)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
4102	Innenstadt - Kurf¸rstenstr.			Hermann-von-Helmholtz-Gymnasium (4)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
